timestamp,event,pid,ppid,name,cmd,windowtitle
2026-06-28T18:32:10.3698687-04:00,FOUND,33280,32320,msedgewebview2.exe,"""C:\Program Files (x86)\Microsoft\EdgeWebView\Application\149.0.4022.98\msedgewebview2.exe"" --type=crashpad-handler --user-data-dir=C:\Users\Jatilq\AppData\Local\com.meridian.app\EBWebView /prefetch:4 /pfhostedapp:4e4abb056ba987b3139b7ce6fc7f16befa071b28 --monitor-self-annotation=ptype=crashpad-handler --database=C:\Users\Jatilq\AppData\Local\com.meridian.app\EBWebView\Crashpad --annotation=IsOfficialBuild=1 --annotation=channel= --annotation=chromium-version=149.0.7827.201 ""--annotation=exe=C:\Program Files (x86)\Microsoft\EdgeWebView\Application\149.0.4022.98\msedgewebview2.exe"" --annotation=plat=Win64 ""--annotation=prod=Edge WebView2"" --annotation=ver=149.0.4022.98 --initial-client-data=0x174,0x178,0x17c,0x150,0x184,0x7fff11dc9c38,0x7fff11dc9c44,0x7fff11dc9c50",""
2026-06-28T18:32:10.3917362-04:00,FOUND,24208,32320,msedgewebview2.exe,"""C:\Program Files (x86)\Microsoft\EdgeWebView\Application\149.0.4022.98\msedgewebview2.exe"" --type=gpu-process --noerrdialogs --user-data-dir=""C:\Users\Jatilq\AppData\Local\com.meridian.app\EBWebView"" --webview-exe-name=sigma-file-manager.exe --webview-exe-version=2.1.1 --embedded-browser-webview=1 --embedded-browser-webview-dpi-awareness=2 --gpu-preferences=SAAAAAAAAADgAAAEAAAAAAAAAAAAAGAAAQAAAAAAAAAAAAAAAAAAAAIAAAAAAAAAAAAAAAAAAAAQAAAAAAAAABAAAAAAAAAACAAAAAAAAAAIAAAAAAAAAA== --startup-read-main-dll --metrics-shmem-handle=1852,i,6145703577946435253,13003872882580430705,262144 --field-trial-handle=1820,i,1222405005327880857,5429112726986696694,262144 --disable-features=msPdfOOUI,msSmartScreenProtection,msWebOOUI --variations-seed-version --pseudonymization-salt-handle=1908,i,6120521887966979546,17576305044138808595,4 --trace-process-track-uuid=3190708988185955192 --mojo-platform-channel-handle=1876 /prefetch:2 /pfhostedapp:4e4abb056ba987b3139b7ce6fc7f16befa071b28",""
2026-06-28T18:32:10.4085160-04:00,FOUND,31660,32320,msedgewebview2.exe,"""C:\Program Files (x86)\Microsoft\EdgeWebView\Application\149.0.4022.98\msedgewebview2.exe"" --type=utility --utility-sub-type=network.mojom.NetworkService --lang=en-US --service-sandbox-type=none --noerrdialogs --user-data-dir=""C:\Users\Jatilq\AppData\Local\com.meridian.app\EBWebView"" --webview-exe-name=sigma-file-manager.exe --webview-exe-version=2.1.1 --embedded-browser-webview=1 --embedded-browser-webview-dpi-awareness=2 --startup-read-main-dll --metrics-shmem-handle=2156,i,17607836388603134111,2156639394836605030,524288 --field-trial-handle=1820,i,1222405005327880857,5429112726986696694,262144 --disable-features=msPdfOOUI,msSmartScreenProtection,msWebOOUI --variations-seed-version --pseudonymization-salt-handle=1908,i,6120521887966979546,17576305044138808595,4 --trace-process-track-uuid=3190708989122997041 --mojo-platform-channel-handle=2164 /prefetch:11 /pfhostedapp:4e4abb056ba987b3139b7ce6fc7f16befa071b28",""
2026-06-28T18:32:10.4268290-04:00,FOUND,33116,32320,msedgewebview2.exe,"""C:\Program Files (x86)\Microsoft\EdgeWebView\Application\149.0.4022.98\msedgewebview2.exe"" --type=utility --utility-sub-type=storage.mojom.StorageService --lang=en-US --service-sandbox-type=service --noerrdialogs --user-data-dir=""C:\Users\Jatilq\AppData\Local\com.meridian.app\EBWebView"" --webview-exe-name=sigma-file-manager.exe --webview-exe-version=2.1.1 --embedded-browser-webview=1 --embedded-browser-webview-dpi-awareness=2 --startup-read-main-dll --metrics-shmem-handle=2508,i,4530766216709275570,11130737733189291820,524288 --field-trial-handle=1820,i,1222405005327880857,5429112726986696694,262144 --disable-features=msPdfOOUI,msSmartScreenProtection,msWebOOUI --variations-seed-version --pseudonymization-salt-handle=1908,i,6120521887966979546,17576305044138808595,4 --trace-process-track-uuid=3190708990060038890 --mojo-platform-channel-handle=2532 /prefetch:13 /pfhostedapp:4e4abb056ba987b3139b7ce6fc7f16befa071b28",""
2026-06-28T18:32:10.4432750-04:00,FOUND,22448,32320,msedgewebview2.exe,"""C:\Program Files (x86)\Microsoft\EdgeWebView\Application\149.0.4022.98\msedgewebview2.exe"" --type=renderer --noerrdialogs --user-data-dir=""C:\Users\Jatilq\AppData\Local\com.meridian.app\EBWebView"" --webview-exe-name=sigma-file-manager.exe --webview-exe-version=2.1.1 --embedded-browser-webview=1 --embedded-browser-webview-dpi-awareness=2 --autoplay-policy=no-user-gesture-required --video-capture-use-gpu-memory-buffer --lang=en-US --js-flags=--expose-gc --device-scale-factor=2.25 --num-raster-threads=4 --enable-main-frame-before-activation --renderer-client-id=5 --time-ticks-at-unix-epoch=-1782667793885446 --launch-time-ticks=18056943290 --ssd-no-pressure-read-main-dll --metrics-shmem-handle=4004,i,10012823251828499707,10433984098248890842,2097152 --field-trial-handle=1820,i,1222405005327880857,5429112726986696694,262144 --disable-features=msPdfOOUI,msSmartScreenProtection,msWebOOUI --variations-seed-version --pseudonymization-salt-handle=1908,i,6120521887966979546,17576305044138808595,4 --trace-process-track-uuid=3190708990997080739 --mojo-platform-channel-handle=4000 /pfhostedapp:4e4abb056ba987b3139b7ce6fc7f16befa071b28 /prefetch:1",""
2026-06-28T18:32:10.4610898-04:00,FOUND,32988,32320,msedgewebview2.exe,"""C:\Program Files (x86)\Microsoft\EdgeWebView\Application\149.0.4022.98\msedgewebview2.exe"" --type=renderer --noerrdialogs --user-data-dir=""C:\Users\Jatilq\AppData\Local\com.meridian.app\EBWebView"" --webview-exe-name=sigma-file-manager.exe --webview-exe-version=2.1.1 --embedded-browser-webview=1 --embedded-browser-webview-dpi-awareness=2 --autoplay-policy=no-user-gesture-required --video-capture-use-gpu-memory-buffer --lang=en-US --js-flags=--expose-gc --device-scale-factor=2.25 --num-raster-threads=4 --enable-main-frame-before-activation --renderer-client-id=6 --time-ticks-at-unix-epoch=-1782667793885446 --launch-time-ticks=18057336201 --skip-read-main-dll --metrics-shmem-handle=3596,i,13803102388749639935,18154893138264144734,2097152 --field-trial-handle=1820,i,1222405005327880857,5429112726986696694,262144 --disable-features=msPdfOOUI,msSmartScreenProtection,msWebOOUI --variations-seed-version --pseudonymization-salt-handle=1908,i,6120521887966979546,17576305044138808595,4 --trace-process-track-uuid=3190708991934122588 --mojo-platform-channel-handle=4516 /pfhostedapp:4e4abb056ba987b3139b7ce6fc7f16befa071b28 /prefetch:1",""
2026-06-28T18:32:10.4767698-04:00,FOUND,22188,32320,msedgewebview2.exe,"""C:\Program Files (x86)\Microsoft\EdgeWebView\Application\149.0.4022.98\msedgewebview2.exe"" --type=renderer --noerrdialogs --user-data-dir=""C:\Users\Jatilq\AppData\Local\com.meridian.app\EBWebView"" --webview-exe-name=sigma-file-manager.exe --webview-exe-version=2.1.1 --embedded-browser-webview=1 --embedded-browser-webview-dpi-awareness=2 --autoplay-policy=no-user-gesture-required --video-capture-use-gpu-memory-buffer --lang=en-US --js-flags=--expose-gc --device-scale-factor=2.25 --num-raster-threads=4 --enable-main-frame-before-activation --renderer-client-id=7 --time-ticks-at-unix-epoch=-1782667793885446 --launch-time-ticks=18057547596 --skip-read-main-dll --metrics-shmem-handle=4684,i,1209763586681582137,6252167901128420736,2097152 --field-trial-handle=1820,i,1222405005327880857,5429112726986696694,262144 --disable-features=msPdfOOUI,msSmartScreenProtection,msWebOOUI --variations-seed-version --pseudonymization-salt-handle=1908,i,6120521887966979546,17576305044138808595,4 --trace-process-track-uuid=3190708992871164437 --mojo-platform-channel-handle=4824 /pfhostedapp:4e4abb056ba987b3139b7ce6fc7f16befa071b28 /prefetch:1",""
2026-06-28T18:32:10.5038513-04:00,FOUND,35312,14732,bash.exe,"""C:\Program Files\Git\bin\bash.exe"" -c ""powershell -NoProfile -ExecutionPolicy Bypass -File 'E:/ai/Projects/Meridian/screenshots/proc-poller.ps1'""",""
2026-06-28T18:32:10.5180104-04:00,FOUND,32612,35312,bash.exe,"""C:\Program Files\Git\bin\..\usr\bin\bash.exe"" -c ""powershell -NoProfile -ExecutionPolicy Bypass -File 'E:/ai/Projects/Meridian/screenshots/proc-poller.ps1'""",""
2026-06-28T18:32:10.5413565-04:00,FOUND,26912,32612,powershell.exe,"C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe -NoProfile -ExecutionPolicy Bypass -File E:/ai/Projects/Meridian/screenshots/proc-poller.ps1",""
