timestamp,event,summary
2026-06-28T18:32:45.0992377-04:00,CMD_FLASH,conhost.exe pid=14752 ppid=14744 cmd=\??\C:\Windows\system32\conhost.exe 0x4
2026-06-28T18:32:45.5201850-04:00,CMD_FLASH,conhost.exe pid=27912 ppid=27124 cmd=\??\C:\Windows\system32\conhost.exe 0x4
2026-06-28T18:32:45.5433675-04:00,CMD_FLASH,powershell.exe pid=27992 ppid=27124 cmd=powershell.exe -NoProfile -ExecutionPolicy Bypass -WindowStyle Hidden -InputFormat Text -OutputFormat Text -File E:\ai\apps\npm\node_modules\9router\src\cli\tray\tray.ps1 -IconPath E:\ai\apps\npm\node_modules\9router\src\cli\tray\icon.ico -Tooltip "9Router - Port 20128"
2026-06-28T18:32:45.5658264-04:00,CMD_FLASH,conhost.exe pid=26764 ppid=27992 cmd=\??\C:\Windows\system32\conhost.exe 0x4
2026-06-28T18:32:46.3958918-04:00,CMD_FLASH,conhost.exe pid=3192 ppid=31244 cmd=\??\C:\Windows\system32\conhost.exe 0x4
2026-06-28T18:32:46.7355259-04:00,CMD_FLASH,powershell.exe pid=26912 ppid=32612 cmd=C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe -NoProfile -ExecutionPolicy Bypass -File E:/ai/Projects/Meridian/screenshots/proc-poller.ps1
2026-06-28T18:32:47.6857818-04:00,CMD_FLASH,conhost.exe pid=14752 ppid=14744 cmd=\??\C:\Windows\system32\conhost.exe 0x4
2026-06-28T18:32:48.1334302-04:00,CMD_FLASH,conhost.exe pid=27912 ppid=27124 cmd=\??\C:\Windows\system32\conhost.exe 0x4
2026-06-28T18:32:48.1585203-04:00,CMD_FLASH,powershell.exe pid=27992 ppid=27124 cmd=powershell.exe -NoProfile -ExecutionPolicy Bypass -WindowStyle Hidden -InputFormat Text -OutputFormat Text -File E:\ai\apps\npm\node_modules\9router\src\cli\tray\tray.ps1 -IconPath E:\ai\apps\npm\node_modules\9router\src\cli\tray\icon.ico -Tooltip "9Router - Port 20128"
2026-06-28T18:32:48.1794971-04:00,CMD_FLASH,conhost.exe pid=26764 ppid=27992 cmd=\??\C:\Windows\system32\conhost.exe 0x4
2026-06-28T18:32:49.0243832-04:00,CMD_FLASH,conhost.exe pid=3192 ppid=31244 cmd=\??\C:\Windows\system32\conhost.exe 0x4
2026-06-28T18:32:49.3811805-04:00,CMD_FLASH,powershell.exe pid=26912 ppid=32612 cmd=C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe -NoProfile -ExecutionPolicy Bypass -File E:/ai/Projects/Meridian/screenshots/proc-poller.ps1
2026-06-28T18:32:50.3276021-04:00,CMD_FLASH,conhost.exe pid=14752 ppid=14744 cmd=\??\C:\Windows\system32\conhost.exe 0x4
2026-06-28T18:32:50.7666576-04:00,CMD_FLASH,conhost.exe pid=27912 ppid=27124 cmd=\??\C:\Windows\system32\conhost.exe 0x4
2026-06-28T18:32:50.7887165-04:00,CMD_FLASH,powershell.exe pid=27992 ppid=27124 cmd=powershell.exe -NoProfile -ExecutionPolicy Bypass -WindowStyle Hidden -InputFormat Text -OutputFormat Text -File E:\ai\apps\npm\node_modules\9router\src\cli\tray\tray.ps1 -IconPath E:\ai\apps\npm\node_modules\9router\src\cli\tray\icon.ico -Tooltip "9Router - Port 20128"
2026-06-28T18:32:50.8096772-04:00,CMD_FLASH,conhost.exe pid=26764 ppid=27992 cmd=\??\C:\Windows\system32\conhost.exe 0x4
2026-06-28T18:32:51.6263296-04:00,CMD_FLASH,conhost.exe pid=3192 ppid=31244 cmd=\??\C:\Windows\system32\conhost.exe 0x4
2026-06-28T18:32:51.9765844-04:00,CMD_FLASH,powershell.exe pid=26912 ppid=32612 cmd=C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe -NoProfile -ExecutionPolicy Bypass -File E:/ai/Projects/Meridian/screenshots/proc-poller.ps1
2026-06-28T18:32:52.9555091-04:00,CMD_FLASH,conhost.exe pid=14752 ppid=14744 cmd=\??\C:\Windows\system32\conhost.exe 0x4
2026-06-28T18:32:53.3518072-04:00,CMD_FLASH,conhost.exe pid=27912 ppid=27124 cmd=\??\C:\Windows\system32\conhost.exe 0x4
2026-06-28T18:32:53.3745178-04:00,CMD_FLASH,powershell.exe pid=27992 ppid=27124 cmd=powershell.exe -NoProfile -ExecutionPolicy Bypass -WindowStyle Hidden -InputFormat Text -OutputFormat Text -File E:\ai\apps\npm\node_modules\9router\src\cli\tray\tray.ps1 -IconPath E:\ai\apps\npm\node_modules\9router\src\cli\tray\icon.ico -Tooltip "9Router - Port 20128"
2026-06-28T18:32:53.3929368-04:00,CMD_FLASH,conhost.exe pid=26764 ppid=27992 cmd=\??\C:\Windows\system32\conhost.exe 0x4
2026-06-28T18:32:54.1629602-04:00,CMD_FLASH,conhost.exe pid=3192 ppid=31244 cmd=\??\C:\Windows\system32\conhost.exe 0x4
2026-06-28T18:32:54.4861388-04:00,CMD_FLASH,powershell.exe pid=26912 ppid=32612 cmd=C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe -NoProfile -ExecutionPolicy Bypass -File E:/ai/Projects/Meridian/screenshots/proc-poller.ps1
